CREDIT_CARD_EXCEED_MONTHS,EMPLOYMENT_TYPE,LOAN_AMOUNT,LOAN_TENURE_YEAR,MORE_THAN_ONE_PRODUCTS,CREDIT_CARD_TYPES,NUMBER_OF_DEPENDENTS,YEARS_TO_FINANCIAL_FREEDOM,NUMBER_OF_CREDIT_CARD_FACILITY,NUMBER_OF_PROPERTIES,NUMBER_OF_BANK_PRODUCTS,NUMBER_OF_LOAN_TO_APPROVE,PROPERTY_TYPE,YEARS_FOR_PROPERTY_TO_COMPLETION,STATE,NUMBER_OF_SIDE_INCOME,MONTHLY_SALARY,TOTAL_SUM_OF_LOAN,TOTAL_INCOME_FOR_JOIN_APPLICATION,DECISION,SCORE
1,Employer,763798,13,No,Normal,2,5,4,2,1,2,Condominium,10,Johor,2,7968,1438566,11513,Accept,9
1,Employer,155112,14,Yes,Gold,2,5,2,2,1,1,Condominium,10,Johor,3,6821,761083,14503,Accept,9
1,Employer,623271,20,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,1,5697,794586,15483,Accept,6
1,Employer,732986,17,Yes,Normal,2,5,4,2,1,1,Condominium,10,Johor,2,5680,499844,10774,Accept,7
1,Employer,475541,17,No,Normal,2,5,2,2,2,3,Condominium,10,Johor,3,8893,1394458,8679,Accept,7
1,Employer,364495,20,Yes,Normal,2,14,2,2,1,1,Condominium,10,Johor,2,5037,884635,15278,Accept,7
1,Employer,497623,22,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,3,9118,1254034,14645,Accept,6
1,Employer,329944,11,Yes,Normal,2,5,2,2,1,2,Not Specified,10,Johor,3,8482,1220164,11040,Accept,9
1,Employer,783763,17,No,Normal,2,15,2,2,1,2,Condominium,10,Johor,2,6819,1122740,11934,Reject,9
1,Employer,423875,23,Yes,Normal,2,5,2,2,1,1,Condominium,10,Johor,3,11763,1423797,17178,Accept,6
1,Employer,417766,21,No,Normal,2,5,3,2,1,3,Condominium,10,Johor,2,9187,1372361,11922,Accept,8
1,Employer,236410,19,Yes,Normal,2,5,2,2,1,3,Condominium,10,Johor,1,8175,1194440,13049,Accept,9
1,Employer,659582,23,No,Gold,2,5,2,2,1,2,Condominium,10,Johor,1,6153,662544,12175,Reject,9
1,Employer,538796,24,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,1,6693,1381890,13067,Accept,7
1,Employer,414236,21,No,Gold,2,5,2,2,1,3,Condominium,10,Johor,2,8337,673952,13691,Accept,6
1,Employer,177790,20,Yes,Normal,2,13,2,2,1,1,Not Specified,10,Johor,1,6558,1100588,15278,Reject,7
1,Employer,307187,19,No,Gold,2,11,2,2,2,2,Condominium,10,Johor,2,7674,659895,15973,Reject,8
1,Employer,141575,16,Yes,Normal,2,5,2,2,1,3,Condominium,10,Johor,1,6064,525593,16949,Accept,9
1,Employer,246337,15,No,Normal,2,5,2,2,1,3,Condominium,10,Johor,2,7652,909020,16718,Accept,6
1,Employer,598378,13,Yes,Normal,2,15,2,2,1,2,Condominium,10,Johor,2,11778,980732,15020,Accept,7
1,Employer,695823,24,No,Normal,2,5,4,2,1,1,Condominium,10,Johor,2,8626,1001510,14525,Accept,9
1,Employer,686314,22,Yes,Gold,2,5,2,2,2,2,Not Specified,10,Johor,1,6394,783852,13049,Reject,9
1,Employer,239044,22,No,Not Specified,2,12,4,2,1,3,Condominium,10,Johor,2,9805,1089965,11775,Reject,9
1,Employer,141133,21,Yes,Normal,2,10,2,2,1,1,Condominium,10,Johor,3,9417,1233187,16077,Accept,7
1,Employer,402533,11,No,Platinum,2,5,2,2,1,3,Condominium,10,Johor,2,6304,1349265,17361,Accept,7
1,Employer,429874,13,Yes,Gold,2,5,2,2,1,1,Condominium,10,Johor,2,8204,911230,13055,Accept,8
1,Employer,557110,11,No,Normal,2,5,4,2,1,2,Condominium,10,Johor,2,7536,1174044,14788,Accept,7
1,Employer,511147,16,Yes,Gold,2,5,2,2,1,3,Not Specified,10,Johor,1,4753,556824,15715,Accept,9
1,Employer,475184,15,No,Gold,2,15,3,2,1,2,Condominium,10,Johor,2,10244,1429656,10203,Accept,8
1,Employer,713740,20,Yes,Gold,2,15,2,2,3,3,Condominium,10,Johor,1,3590,1270226,16018,Reject,8
1,Employer,777663,18,No,Normal,2,5,4,2,2,2,Condominium,10,Johor,2,4480,1370283,16619,Accept,7
1,Employer,197664,18,Yes,Gold,2,15,3,2,2,1,Condominium,10,Johor,3,4464,800328,16201,Accept,8
1,Employer,505385,11,No,Normal,2,5,4,2,1,2,Condominium,10,Johor,2,7088,690450,8474,Accept,6
1,Employer,685977,24,Yes,Normal,2,5,2,2,2,1,Condominium,10,Johor,1,5029,436358,17934,Accept,9
1,Employer,317361,23,No,Gold,2,5,4,2,1,2,Condominium,10,Johor,1,8807,900288,12263,Accept,9
1,Employer,461385,21,Yes,Normal,2,5,2,2,1,3,Not Specified,10,Johor,1,11639,884482,9536,Accept,9
1,Employer,414236,18,No,Platinum,2,7,2,2,1,2,Condominium,10,Johor,2,8368,1366202,10966,Accept,7
1,Employer,522489,20,Yes,Gold,2,5,2,2,1,3,Condominium,10,Johor,3,8157,591823,17945,Accept,7
1,Employer,137116,19,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,3,7410,791198,12852,Accept,7
1,Employer,640133,17,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,2,3600,685876,12713,Accept,6
1,Employer,169182,10,No,Normal,2,13,2,2,3,2,Condominium,10,Johor,2,9463,1223803,13042,Accept,6
1,Employer,352362,10,Yes,Gold,2,5,2,2,2,1,Condominium,10,Johor,3,8973,1336122,9567,Accept,9
1,Employer,127205,15,No,Normal,2,13,4,2,1,3,Condominium,10,Johor,1,8342,464657,13331,Reject,6
1,Employer,409535,16,Yes,Normal,2,5,4,2,1,2,Condominium,10,Johor,3,8118,1256233,10424,Accept,6
1,Employer,534178,16,No,Not Specified,2,16,2,2,1,2,Condominium,10,Johor,3,6855,1199910,10932,Accept,8
1,Employer,652696,16,Yes,Normal,2,5,2,2,1,2,Condominium,10,Johor,3,6064,680814,12697,Reject,9
1,Employer,226900,16,No,Gold,2,14,3,2,1,2,Condominium,10,Johor,1,7520,679777,15057,Accept,8
1,Employer,452995,18,Yes,Gold,2,15,3,2,1,2,Condominium,10,Johor,2,3688,840438,16100,Reject,6
1,Employer,423875,15,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,2,8622,1288713,19859,Reject,7
1,Employer,638121,17,Yes,Normal,2,5,2,2,2,3,Condominium,10,Johor,2,11726,545646,7809,Reject,6
1,Employer,247875,22,No,Normal,2,5,2,2,1,1,Condominium,10,Johor,2,12519,851018,15770,Reject,9
1,Employer,448361,15,Yes,Gold,2,5,2,2,1,2,Condominium,10,Johor,2,10476,600309,10001,Reject,7
1,Employer,384108,19,No,Normal,2,11,2,2,1,3,Condominium,10,Johor,3,11799,526880,9338,Accept,9
6,Employer,696830,18,Yes,Gold,2,6,2,2,1,3,Condominium,10,Johor,2,8848,1395602,9790,Accept,9
6,Employer,589976,17,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,1,8281,806983,18287,Accept,8
6,Employer,551583,11,Yes,Gold,2,14,2,3,1,3,Condominium,10,Johor,2,10383,562038,11499,Accept,8
6,Employer,517695,18,No,Gold,2,6,2,2,1,3,Condominium,10,Johor,3,5428,546043,13049,Accept,8
6,Employer,614039,13,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,6684,1215501,17239,Accept,8
6,Employer,529936,22,No,Not Specified,2,6,2,2,1,2,Condominium,10,Johor,3,7175,750247,11439,Reject,7
6,Employer,361713,20,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,1,10753,984563,18171,Accept,8
6,Employer,668010,13,No,Gold,2,6,2,2,1,2,Condominium,10,Johor,2,7132,1302913,11513,Accept,6
6,Employer,115453,12,Yes,Gold,2,6,2,2,2,3,Condominium,10,Johor,2,9685,1152455,13194,Reject,8
6,Employer,527883,22,No,Gold,2,6,2,2,1,1,Condominium,10,Johor,2,10663,1202187,11512,Accept,9
6,Employer,436751,10,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,4466,795767,11513,Accept,9
6,Employer,260873,15,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,2,8145,432222,8619,Accept,7
6,Employer,469773,17,Yes,Normal,2,13,2,2,1,1,Condominium,10,Johor,1,6438,1014152,17727,Reject,8
6,Employer,418570,17,No,Platinum,2,6,4,2,1,3,Condominium,10,Johor,1,8955,430165,13049,Accept,9
6,Employer,741127,12,Yes,Gold,2,6,3,2,1,2,Condominium,10,Johor,1,7573,909932,17632,Accept,7
6,Employer,143740,20,No,Normal,2,6,4,2,1,2,Condominium,10,Johor,3,9350,989198,13049,Accept,6
6,Employer,511147,18,Yes,Normal,2,6,2,2,1,1,Condominium,10,Johor,2,12012,877950,11217,Reject,8
6,Employer,584865,14,No,Gold,2,6,4,2,2,1,Condominium,10,Johor,2,7084,1049055,17446,Accept,9
6,Employer,594021,16,Yes,Normal,2,17,2,2,1,1,Condominium,10,Johor,1,3886,1072056,11229,Reject,8
6,Employer,344160,15,No,Normal,2,6,2,2,1,3,Condominium,10,Johor,1,6321,462999,16718,Accept,7
6,Employer,784252,10,Yes,Normal,2,16,4,2,1,3,Condominium,10,Johor,1,7145,593755,13667,Accept,7
6,Employer,320031,22,No,Normal,2,12,4,2,1,3,Condominium,10,Johor,2,9600,1304388,12095,Accept,9
6,Employer,586171,20,Yes,Normal,2,6,2,2,1,2,Condominium,10,Johor,3,8167,986044,11267,Accept,8
6,Employer,426166,20,No,Normal,2,15,2,2,1,2,Condominium,10,Johor,1,4460,527257,14105,Accept,9
6,Employer,527883,22,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,12483,911219,11297,Accept,6
6,Employer,270671,16,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,2,9045,758809,19771,Reject,7
6,Employer,269188,20,Yes,Normal,2,6,2,2,1,1,Condominium,10,Johor,1,8530,602708,12392,Accept,7
6,Employer,338161,17,No,Platinum,2,6,2,2,1,2,Condominium,10,Johor,2,3761,901079,14864,Reject,8
6,Employer,105577,20,Yes,Gold,2,14,2,2,1,1,Condominium,10,Johor,1,6671,1338424,11876,Accept,9
6,Employer,787954,14,No,Gold,2,6,2,2,1,3,Condominium,10,Johor,2,4649,1158899,11513,Accept,6
6,Employer,462446,17,Yes,Normal,2,6,4,2,1,1,Not Specified,10,Johor,3,12169,924297,13049,Accept,7
6,Employer,477993,23,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,3,3912,605985,9906,Reject,8
6,Employer,489336,17,Yes,Normal,2,6,2,2,1,2,Condominium,10,Johor,1,6064,1337201,10205,Accept,7
6,Employer,513874,20,No,Platinum,2,6,4,2,1,2,Condominium,10,Johor,3,4144,1073726,13200,Accept,7
6,Employer,656453,17,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,9324,1118447,11118,Accept,8
6,Employer,609577,16,No,Normal,2,16,2,2,1,2,Condominium,10,Johor,2,9671,677064,9557,Accept,7
6,Employer,386539,15,Yes,Normal,2,12,2,2,1,3,Condominium,10,Johor,3,8981,1319239,9775,Accept,8
6,Employer,137642,16,No,Platinum,2,6,2,2,2,3,Condominium,10,Johor,1,4940,842850,12586,Reject,6
6,Employer,183586,17,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,8191,1427018,13049,Reject,7
6,Employer,527945,18,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,3,6345,1391346,13049,Accept,9
6,Employer,676083,23,Yes,Platinum,2,6,4,2,2,3,Condominium,10,Johor,3,8945,438094,8358,Accept,8
6,Employer,401931,20,No,Gold,2,6,2,2,1,2,Condominium,10,Johor,1,8214,472127,8037,Accept,9
6,Employer,538796,23,Yes,Gold,2,6,3,2,1,2,Condominium,10,Johor,1,4938,934288,19728,Accept,8
6,Employer,693005,22,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,3,3699,623478,11439,Accept,9
6,Employer,423875,12,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,3,4008,552448,16984,Accept,8
6,Employer,740785,12,No,Gold,2,6,2,2,1,1,Condominium,10,Johor,3,8222,842418,7731,Accept,8
6,Employer,557554,15,Yes,Normal,2,6,3,2,1,1,Condominium,10,Johor,2,8932,646904,9306,Accept,6
6,Employer,242183,23,No,Normal,2,12,2,2,1,1,Condominium,10,Johor,3,8935,1307524,12481,Accept,8
6,Employer,173436,22,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,1,12246,1214167,11917,Accept,7
6,Employer,237187,17,No,Gold,2,6,2,2,1,2,Condominium,10,Johor,2,6858,1172482,8439,Accept,8
6,Employer,331828,12,Yes,Normal,2,12,2,2,3,1,Condominium,10,Johor,1,9975,873957,13185,Accept,8
6,Employer,631113,14,No,Gold,2,6,2,2,1,1,Condominium,10,Johor,2,6134,849370,7725,Reject,6
6,Employer,151474,22,Yes,Normal,2,12,2,2,1,3,Not Specified,10,Johor,1,8935,753494,9126,Reject,7
6,Employer,635895,13,No,Platinum,2,6,2,2,1,2,Condominium,10,Johor,2,9895,1334964,14696,Accept,7
6,Employer,531413,21,Yes,Gold,2,6,2,2,1,2,Condominium,10,Johor,3,10954,923249,12630,Accept,8
6,Employer,470957,22,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,3,12191,1046635,10864,Reject,7
6,Employer,615155,17,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,5530,1146292,16147,Accept,6
6,Employer,593441,11,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,2,8482,1397221,17395,Reject,7
6,Employer,202336,22,Yes,Normal,2,12,4,2,1,2,Condominium,10,Johor,2,8073,859039,14966,Accept,9
6,Employer,440879,18,No,Platinum,2,15,3,2,1,1,Not Specified,10,Johor,2,7039,727197,10504,Accept,7
6,Employer,275895,16,Yes,Gold,2,6,2,2,1,2,Condominium,10,Johor,1,6064,440704,19217,Accept,8
6,Employer,192042,17,No,Normal,2,6,4,2,1,3,Condominium,10,Johor,2,11707,787581,13049,Accept,8
6,Employer,144562,22,Yes,Normal,2,6,2,2,1,2,Condominium,10,Johor,1,8236,1004411,16914,Accept,7
6,Employer,540001,19,No,Gold,2,13,2,2,2,3,Condominium,10,Johor,3,8602,1113986,14408,Accept,7
6,Employer,254064,20,Yes,Gold,2,6,2,2,1,2,Condominium,10,Johor,3,9043,787944,18526,Accept,9
6,Employer,191277,22,No,Gold,2,6,2,2,2,2,Condominium,10,Johor,1,11987,742295,14007,Accept,9
6,Employer,165333,18,Yes,Normal,2,6,2,2,1,2,Condominium,10,Johor,3,7199,1336811,12708,Accept,9
6,Employer,602067,20,No,Normal,2,14,2,2,1,2,Not Specified,10,Johor,2,5406,786869,12771,Accept,7
6,Employer,388865,18,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,2,8111,1388365,13514,Accept,8
6,Employer,527883,22,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,2,11899,420576,16052,Accept,9
6,Employer,708619,20,Yes,Normal,2,6,2,2,2,2,Condominium,10,Johor,1,4658,1440306,17423,Accept,9
6,Employer,517466,13,No,Normal,2,6,2,2,1,2,Not Specified,10,Johor,1,6358,984358,8233,Accept,7
6,Employer,371469,12,Yes,Gold,2,15,2,2,2,3,Condominium,10,Johor,2,9980,734075,14810,Accept,6
6,Employer,314438,17,No,Normal,2,6,2,2,2,2,Condominium,10,Johor,2,7222,428416,12522,Accept,8
6,Employer,277066,23,Yes,Normal,2,6,4,2,1,3,Condominium,10,Johor,1,9805,898568,8769,Accept,8
6,Employer,206912,13,No,Normal,2,6,4,2,1,3,Condominium,10,Johor,2,12098,976174,8469,Accept,7
6,Employer,311541,20,Yes,Normal,2,6,2,2,1,1,Condominium,10,Johor,3,4808,1341881,9013,Accept,7
6,Employer,584422,10,No,Normal,2,16,4,2,1,3,Condominium,10,Johor,1,7757,1435095,15133,Reject,8
6,Employer,208272,23,Yes,Normal,2,6,2,2,1,3,Condominium,10,Johor,1,9005,723345,13687,Accept,9
6,Employer,653510,20,No,Normal,2,6,2,2,1,3,Condominium,10,Johor,1,11859,1446900,10811,Accept,7
6,Employer,180804,22,Yes,Platinum,2,6,2,2,1,2,Condominium,10,Johor,1,11098,1331507,14007,Accept,6
6,Employer,639935,22,No,Normal,2,6,2,2,1,1,Condominium,10,Johor,1,11521,848025,8134,Accept,6
6,Employer,259705,17,Yes,Normal,2,8,4,2,1,1,Condominium,10,Johor,3,9967,849337,14225,Accept,8
6,Employer,159785,14,No,Gold,2,6,2,2,1,1,Condominium,10,Johor,2,7030,1140469,11513,Accept,9
6,Employer,502899,23,Yes,Gold,2,6,2,2,1,2,Condominium,10,Johor,2,8004,767665,11917,Accept,9
6,Employer,738038,17,No,Platinum,2,6,2,2,1,1,Not Specified,10,Johor,1,4446,476535,13049,Reject,9
6,Employer,318244,20,Yes,Normal,2,6,2,2,2,1,Condominium,10,Johor,1,12337,1134223,19501,Accept,8
6,Employer,424268,11,No,Not Specified,2,6,2,2,1,3,Condominium,10,Johor,1,8760,1406634,15761,Accept,6
6,Employer,687914,19,Yes,Normal,2,9,2,2,1,2,Condominium,10,Johor,2,7295,534165,8941,Accept,6
6,Employer,304063,15,No,Normal,2,6,4,2,1,2,Condominium,10,Johor,2,8342,420268,9518,Reject,8
6,Employer,324626,24,Yes,Normal,2,14,4,3,1,3,Condominium,10,Johor,2,11727,560403,15521,Accept,6
6,Employer,449140,21,No,Normal,2,5,2,2,1,2,Condominium,10,Johor,2,7208,862267,12423,Accept,6
6,Employer,570416,17,Yes,Gold,2,6,4,2,2,1,Condominium,10,Johor,1,6297,1338876,14094,Accept,9
6,Employer,330056,11,No,Normal,2,6,2,2,2,3,Condominium,10,Johor,2,6821,1275482,15768,Accept,9
6,Employer,480561,17,Yes,Normal,2,6,2,2,1,1,Condominium,10,Johor,2,6452,717042,10691,Reject,9
6,Employer,238022,20,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,3,7330,801624,19817,Accept,9
6,Employer,538796,15,Yes,Platinum,2,6,3,2,1,3,Condominium,10,Johor,1,6118,753478,17923,Accept,8
6,Employer,619477,18,No,Platinum,2,6,4,2,1,1,Condominium,10,Johor,1,11968,906233,13049,Accept,8
6,Employer,680649,20,Yes,Gold,2,6,2,2,2,3,Condominium,10,Johor,3,6376,441212,18404,Accept,8
6,Employer,291391,11,No,Normal,2,6,2,2,1,2,Condominium,10,Johor,2,6551,1423554,11513,Accept,9
2,Self-Employed,456764,11,Yes,Normal,2,15,6,2,2,2,Condominium,11,Johor,1,9999,1334324,12142,Reject,7
2,Self-Employed,277808,16,No,Normal,2,7,4,2,2,1,Condominium,11,Johor,2,5994,920143,15724,Accept,9
2,Self-Employed,363713,21,Yes,Normal,2,7,4,2,1,3,Condominium,11,Johor,3,10521,726880,18518,Accept,8
2,Self-Employed,522160,12,No,Platinum,2,7,3,2,1,2,Condominium,11,Johor,2,4424,968181,11513,Accept,6
2,Self-Employed,668840,20,Yes,Normal,2,7,4,2,2,3,Condominium,11,Johor,3,9170,1099311,7775,Accept,7
2,Self-Employed,404623,16,No,Gold,2,15,3,2,2,1,Condominium,11,Johor,2,12195,675731,14534,Accept,8
2,Self-Employed,410589,15,Yes,Gold,2,13,6,2,2,2,Condominium,11,Johor,2,3954,1229131,12538,Accept,6
2,Self-Employed,118209,24,No,Gold,2,7,6,2,1,1,Condominium,11,Johor,2,9805,563060,11310,Accept,9
2,Self-Employed,783134,18,Yes,Normal,2,12,3,2,2,3,Condominium,11,Johor,1,7479,732306,18763,Accept,9
2,Self-Employed,620152,20,No,Normal,2,7,5,2,3,1,Condominium,11,Johor,3,6616,1249424,14681,Accept,6
2,Self-Employed,442074,23,Yes,Gold,2,11,3,2,1,2,Condominium,11,Johor,2,8242,1200318,17393,Accept,7
2,Self-Employed,632334,20,No,Normal,2,7,4,2,2,2,Condominium,10,Johor,1,4938,745454,13049,Accept,7
2,Self-Employed,290763,12,Yes,Platinum,2,14,6,2,1,1,Not Specified,11,Johor,1,6191,478607,18129,Accept,6
2,Self-Employed,111645,14,No,Normal,2,7,6,2,2,1,Condominium,11,Johor,1,10771,933472,11513,Accept,8
2,Self-Employed,273371,11,Yes,Platinum,2,7,6,2,2,1,Condominium,11,Johor,1,8444,1175672,8758,Accept,7
2,Self-Employed,162119,16,No,Platinum,2,15,4,2,2,1,Condominium,11,Johor,3,4835,1272271,9557,Accept,6
2,Self-Employed,717226,24,Yes,Gold,2,7,4,2,2,2,Condominium,11,Johor,1,9166,976361,12175,Accept,7
2,Self-Employed,574186,20,No,Normal,2,7,6,2,2,3,Condominium,11,Johor,1,8600,786665,7867,Accept,9
2,Self-Employed,655447,21,Yes,Platinum,2,7,6,2,1,3,Condominium,11,Johor,1,9347,662504,13345,Accept,7
2,Self-Employed,506311,23,No,Gold,2,7,6,2,2,2,Condominium,11,Johor,1,7254,1182176,11917,Reject,7
2,Self-Employed,511147,17,Yes,Gold,2,7,3,2,2,2,Condominium,11,Johor,2,9048,1070848,10971,Reject,9
2,Self-Employed,517812,16,No,Normal,2,12,6,2,2,1,Condominium,11,Johor,1,9162,779661,17599,Reject,8
2,Self-Employed,750375,21,Yes,Not Specified,2,7,6,2,2,1,Condominium,11,Johor,1,9063,1288954,15923,Accept,9
2,Self-Employed,619321,12,No,Gold,2,7,6,2,2,2,Condominium,11,Johor,2,8444,683546,18989,Accept,9
2,Self-Employed,544044,17,Yes,Normal,2,7,6,2,2,1,Condominium,11,Johor,2,8198,1324214,11574,Accept,8
